Material_ID,Formula,Density_g_cm3,Unit_Cell_Volume_A3,Energy_Above_Hull_eV,Formation_Energy_eV_atom
mp-1183144,Al,2.818666904,63.58168669,0.010480728,0.010480728
mp-134,Al,2.720050209,16.47171763,0,0
mp-2647008,Al,2.68779384,33.33879133,0.032078225,0.032078225
mp-1187812,Zn,7.519443,43.33334257,0.007402095,0.007402095
mp-1244987,Zn,6.73349438,1613.043595,0.058374757,0.058374757
mp-1245093,Zn,6.725669426,1614.920284,0.055068915,0.055068915
mp-1245184,Zn,6.779282988,1602.148782,0.048851893,0.048851893
mp-1245266,Zn,6.690725761,1623.354531,0.052315975,0.052315975
mp-2646972,Zn,7.160073455,15.16942536,0.00520538,0.00520538
mp-2647117,Zn,7.029542497,15.45110508,0.07166243,0.07166243
mp-79,Zn,7.53085732,28.84510891,0,0
mp-1056351,Mg,1.782330131,22.64417871,0.037615175,0.037615175
mp-1056702,Mg,1.785243837,22.60722103,0.030189965,0.030189965
mp-1094122,Mg,1.789479144,202.983432,0.003384133,0.003384133
mp-110,Mg,1.811054814,22.28502511,0.039679875,0.039679875
mp-153,Mg,1.801799385,44.79899634,0,0
mp-973364,Mg,1.790009721,90.18811806,0.008570822,0.008570822
mp-1010136,Cu,9.20140094,11.46788584,0.03556281,0.03556281
mp-30,Cu,9.218996047,11.44599856,0,0
mp-989695,Cu,9.210602273,45.82571797,0.00771654,0.00771654
mp-989782,Cu,9.227350523,22.87127064,0.012339935,0.012339935
mp-998890,Cu,9.209264324,11.45809392,0.03306618,0.03306618
mp-1206713,Al2Zn,4.275531933,46.36194999,0.024578678,0.024578678
mp-983585,Al3Zn,3.88762315,62.51271977,0.036298491,0.036298491
mp-1194114,Mg13Al16,2.192603553,566.2376162,0.044191619,0.033463217
mp-1185596,Mg149Al,1.77253796,3417.89848,0.002904532,0.002754187
mp-1023506,Mg15Al,1.849547685,351.5426688,0.04116724,0.039757761
mp-1094683,Mg16Al13,2.106856244,582.9544003,0.010447255,0.000766364
mp-1094685,Mg16Al13,2.125327699,577.88788,0.003992391,-0.0056885
mp-1094692,Mg16Al13,2.132222733,576.0191463,0.00761913,-0.002061761
mp-2151,Mg17Al12,2.153102325,568.3690027,0,-0.00933172
mp-1094700,Mg18Al11,2.062543036,591.1693006,0.01190382,0.003349743
mp-17659,Mg23Al30,2.220290764,1023.461995,0.000706286,-0.010167055
mp-1016233,Mg3Al,2.019178111,82.15328014,0.055965538,0.050327624
mp-1094666,Mg3Al,1.993175418,83.22504053,0.076585086,0.070947171
