Alloy_ID,Formula_String,WT_Al,WT_Zn,WT_Mg,WT_Cu,Aging_Temp_C,Aging_Time_Hours,Yield_Strength_MPa,Hardness_HV
Paper_Source_12,Al0.908Zn0.059Mg0.020Cu0.013,0.908221427,0.058727006,0.020062725,0.012988841,150,4.673658709,514.2032762,166.5349134
Paper_Source_3,Al0.880Zn0.088Mg0.027Cu0.006,0.879557135,0.087535715,0.027129797,0.005777353,120,17.15477923,638.0699188,207.4338324
Paper_Source_8,Al0.890Zn0.077Mg0.023Cu0.010,0.890177366,0.076599697,0.023173873,0.010049064,120,2.077147668,508.1628849,165.5567192
Paper_Source_6,Al0.910Zn0.070Mg0.013Cu0.007,0.909792167,0.069932924,0.013258689,0.00701622,135,4.232478615,444.816855,150.208144
Paper_Source_5,Al0.935Zn0.048Mg0.011Cu0.006,0.934837068,0.047800932,0.011411375,0.005950625,150,19.35385562,434.9717294,135.7883801
Paper_Source_4,Al0.910Zn0.048Mg0.023Cu0.020,0.909502485,0.047799726,0.022848386,0.019849403,150,6.803998317,573.4837663,183.2749286
Paper_Source_8,Al0.937Zn0.043Mg0.011Cu0.010,0.936730286,0.042904181,0.010530226,0.009835308,150,27.45819029,361.5800691,120.3238721
Paper_Source_8,Al0.878Zn0.083Mg0.022Cu0.017,0.877827564,0.083308807,0.021715512,0.017148117,135,33.24958603,551.9079574,177.1547923
Paper_Source_12,Al0.892Zn0.070Mg0.029Cu0.009,0.892320035,0.070055751,0.028804605,0.00881961,120,38.52786821,509.0235392,166.4156495
Paper_Source_1,Al0.888Zn0.075Mg0.022Cu0.015,0.887864347,0.075403629,0.021509484,0.015222541,135,10.0071366,561.4921419,181.7015212
Paper_Source_9,Al0.925Zn0.041Mg0.018Cu0.016,0.924803959,0.041029225,0.017763399,0.016403418,120,8.455422657,400.5309614,134.4665419
Paper_Source_14,Al0.875Zn0.088Mg0.023Cu0.014,0.874704162,0.088495493,0.022865764,0.013934581,120,5.466972416,556.2958965,176.6676531
Paper_Source_5,Al0.887Zn0.082Mg0.019Cu0.012,0.887139167,0.081622132,0.019165058,0.012073643,135,30.73043685,513.0580575,168.5571006
Paper_Source_4,Al0.917Zn0.051Mg0.021Cu0.011,0.917293095,0.050616956,0.020912336,0.011177614,120,34.05759701,427.9538399,142.423579
Paper_Source_6,Al0.912Zn0.049Mg0.029Cu0.010,0.911846431,0.049091248,0.028829296,0.010233024,120,2.000341879,435.4353936,137.926983
Paper_Source_6,Al0.914Zn0.049Mg0.018Cu0.019,0.914164785,0.049170225,0.017722053,0.018942937,150,44.9700817,400.3547076,131.1038555
Paper_Source_2,Al0.898Zn0.055Mg0.029Cu0.017,0.898104785,0.055212112,0.029223811,0.017459291,120,2.968635973,499.2082116,158.621162
Paper_Source_8,Al0.886Zn0.066Mg0.028Cu0.019,0.886179762,0.066237822,0.028107013,0.019475404,135,26.21157593,566.2143999,182.7252104
Paper_Source_7,Al0.918Zn0.062Mg0.014Cu0.007,0.917622468,0.061597251,0.013915823,0.006864458,135,34.18037467,413.8756868,132.8668162
Paper_Source_1,Al0.918Zn0.055Mg0.011Cu0.016,0.918088305,0.054561457,0.011387226,0.015963012,120,41.87103338,401.1381649,123.3925232
Paper_Source_5,Al0.898Zn0.071Mg0.012Cu0.019,0.898316688,0.070592645,0.01201556,0.019075107,150,34.41912928,466.6928787,151.6066756
Paper_Source_12,Al0.935Zn0.047Mg0.010Cu0.008,0.934942374,0.046974693,0.010364437,0.007718496,150,38.58208395,357.5320456,115.6912658
Paper_Source_6,Al0.928Zn0.055Mg0.012Cu0.006,0.927506464,0.054607232,0.011888859,0.005997444,120,16.62388415,424.3683842,140.5907246
Paper_Source_4,Al0.902Zn0.058Mg0.024Cu0.016,0.901904963,0.058318092,0.023660135,0.01611681,120,39.2041929,485.0731697,158.0030752
Paper_Source_2,Al0.912Zn0.063Mg0.011Cu0.014,0.912155631,0.062803499,0.011423773,0.013617097,135,4.305455203,431.4176935,144.8942077
Paper_Source_13,Al0.887Zn0.079Mg0.016Cu0.018,0.886734258,0.079258798,0.016379513,0.017627432,120,43.00379116,511.2816055,165.1971561
Paper_Source_14,Al0.916Zn0.050Mg0.027Cu0.007,0.916022219,0.049983689,0.026897506,0.007096586,150,26.51063787,454.7182435,146.4194792
Paper_Source_4,Al0.907Zn0.066Mg0.010Cu0.017,0.90689383,0.065711722,0.010465439,0.01692901,120,39.32164407,428.2280358,137.6771844
Paper_Source_1,Al0.896Zn0.070Mg0.026Cu0.008,0.896065492,0.069620728,0.02628937,0.00802441,135,21.98511851,659.3574135,211.5969681
Paper_Source_7,Al0.935Zn0.042Mg0.016Cu0.007,0.934585545,0.042322521,0.015637095,0.007454839,135,31.06994052,370.0395625,113.8482235
Paper_Source_2,Al0.910Zn0.070Mg0.012Cu0.007,0.909795474,0.070377243,0.012363297,0.007463987,135,25.50412639,502.761295,161.6305763
Paper_Source_13,Al0.910Zn0.049Mg0.024Cu0.017,0.91032043,0.048526206,0.023934743,0.017218621,135,35.25050228,455.6269426,141.8067963
Paper_Source_2,Al0.919Zn0.043Mg0.023Cu0.015,0.919190605,0.04325258,0.022578857,0.014977958,135,4.377424146,408.9632355,133.0537077
Paper_Source_9,Al0.872Zn0.087Mg0.028Cu0.013,0.872160301,0.087444277,0.02754944,0.012845981,120,3.36672399,580.8210599,184.2614815
Paper_Source_5,Al0.877Zn0.088Mg0.025Cu0.010,0.87663452,0.088281602,0.024701421,0.010382457,,12.23740362,569.6250301,181.5141782
Paper_Source_2,Al0.875Zn0.080Mg0.026Cu0.018,0.875352506,0.080419867,0.026069619,0.018158008,120,8.078372305,558.0888388,178.3551322
Paper_Source_11,Al0.918Zn0.055Mg0.016Cu0.011,0.918241943,0.055230688,0.015640691,0.010886677,120,41.90971941,414.9609994,133.3460493
Paper_Source_9,Al0.924Zn0.045Mg0.014Cu0.017,0.924318612,0.044883606,0.013548791,0.017248992,135,10.9126644,446.4763371,144.0417955
